title,model,version,status,folder,summary_file,before,after,delta,note
Llama 3.1 8B • v5 • regenerated big-model check,Llama 3.1 8B,v5,working reference,regenerated_big_models/llama31_8b_v5,regenerated_big_models/llama31_8b_v5/summary_v5.json,0.206104063117952,0.19154301075711366,-0.01456105236083835,Clean v5: categories and parameters selected on dev only. Test remained untouched.
Qwen 3 235B • v4 • regenerated big-model check,Qwen 3 235B,v4,working reference,regenerated_big_models/qwen235b_v4,regenerated_big_models/qwen235b_v4/summary_v4.json,0.17938675058500772,0.17671008703658736,-0.0026766635484203605,Clean v4 selection: categories and weights were chosen using only dev after fitting bias tables on calibration; test remained untouched.
Qwen local / Qwen family • v4,Qwen local / Qwen family,v4,working local qwen,results/calibration_rectification_v4_qwen,results/calibration_rectification_v4_qwen/summary_v4.json,0.22525025847160535,0.20337919516760086,-0.021871063304004484,Clean v4 selection: categories and weights were chosen using only dev after fitting bias tables on calibration; test remained untouched.
Llama local / Llama family • v5,Llama local / Llama family,v5,working local llama,results/calibration_rectification_v5_llama2,results/calibration_rectification_v5_llama2/summary_v5.json,0.21831990396841422,0.20721632917447105,-0.011103574793943166,Clean v5: categories and parameters selected on dev only. Test remained untouched.
Llama local / Llama family • v1,Llama local / Llama family,v1,baseline prototype,results/llama_rectification,results/llama_rectification/summary.json,0.21186873038502207,0.21254024144931646,0.0006715110642943889,
Qwen local / Qwen family • v1,Qwen local / Qwen family,v1,baseline prototype,results/qwen_rectification,results/qwen_rectification/summary.json,0.20579499054711356,0.20530314169008712,-0.000491848857026439,
Llama local / Llama family • v2,Llama local / Llama family,v2,earlier iteration,results/llama_rectification_v2,results/llama_rectification_v2/summary_v2.json,0.21186873038502207,0.23171450556416945,0.019845775179147374,option_level_family_group_rectification_v2
Llama local / Llama family • v3,Llama local / Llama family,v3,earlier iteration,results/calibration_rectification_v3_llama,results/calibration_rectification_v3_llama/summary_v3.json,0.21186873038502207,0.199095262576996,-0.012773467808026073,"Targeted post-selection rectification. If families were chosen using prior held-out analysis, evaluation is optimistic and not a fresh generalization test."
Qwen local / Qwen family • v2,Qwen local / Qwen family,v2,earlier iteration,results/qwen_rectification_v2,results/qwen_rectification_v2/summary_v2.json,0.20579499054711356,0.20331482246113375,-0.0024801680859798114,option_level_family_group_rectification_v2
Qwen local / Qwen family • v3,Qwen local / Qwen family,v3,earlier iteration,results/calibration_rectification_v3_qwen,results/calibration_rectification_v3_qwen/summary_v3.json,0.20579499054711356,0.19022688879078065,-0.015568101756332914,"Targeted post-selection rectification. If families were chosen using prior held-out analysis, evaluation is optimistic and not a fresh generalization test."
Qwen local / Qwen family • v5,Qwen local / Qwen family,v5,intermediate,results/calibration_rectification_v5_qwen2,results/calibration_rectification_v5_qwen2/summary_v5.json,0.21362336412412278,0.2071520274425524,-0.006471336681570378,Clean v5: categories and parameters selected on dev only. Test remained untouched.
