perturbation	QUESTION_ID	category	original_w1	perturbed_w1	delta_w1
paraphrase_light	Q1	Social Values, Norms, Stereotypes	0.38888888888888884	0.3888888888888889	5.551115123125783e-17
paraphrase_light	Q107	Economic Values	0.1259259259259259	0.08888888888888889	-0.03703703703703702
paraphrase_light	Q123	Perceptions of Migration	0.2833333333333333	0.3	0.016666666666666663
paraphrase_light	Q132	Perceptions of Security	0.2888888888888889	0.2777777777777778	-0.011111111111111127
paraphrase_light	Q178	Ethical Values	0.4703703703703703	0.4666666666666667	-0.0037037037037036535
paraphrase_light	Q236	Political Culture and Political Regimes	0.055555555555555546	0.11111111111111109	0.055555555555555546
paraphrase_light	Q237	Political Culture and Political Regimes	0.22222222222222227	0.3	0.07777777777777772
paraphrase_light	Q57	Social Capital, Trust and Organizational Membership	0.36666666666666664	0.39999999999999997	0.033333333333333326
reverse_anchor_order	Q1	Social Values, Norms, Stereotypes	0.38888888888888884	0.5444444444444444	0.15555555555555556
reverse_anchor_order	Q107	Economic Values	0.1259259259259259	0.04444444444444444	-0.08148148148148147
reverse_anchor_order	Q123	Perceptions of Migration	0.2833333333333333	0.21666666666666667	-0.06666666666666665
reverse_anchor_order	Q132	Perceptions of Security	0.2888888888888889	0.2333333333333334	-0.055555555555555525
reverse_anchor_order	Q178	Ethical Values	0.4703703703703703	0.3925925925925926	-0.07777777777777772
reverse_anchor_order	Q236	Political Culture and Political Regimes	0.055555555555555546	0.08888888888888888	0.03333333333333333
reverse_anchor_order	Q237	Political Culture and Political Regimes	0.22222222222222227	0.22222222222222227	0.0
reverse_anchor_order	Q57	Social Capital, Trust and Organizational Membership	0.36666666666666664	0.4333333333333333	0.06666666666666665
