run_id,alias,kind,model,scenario,description,path,files,excluded_due_to_licensing
benchmark_20260329_152542_644025_qwen35-distilled-interview-direct-1080,Qwen 3.5 / distilled Qwen • single-answer benchmark • interview framing • 36×6×5 grid,benchmark,Qwen 3.5 / distilled Qwen,single-answer benchmark | interview framing | 36×6×5 grid,"Benchmark run for qwen 3.5 / distilled qwen. Includes summaries, predictions, raw generations.",../artifacts/runs/benchmark_20260329_152542_644025_qwen35-distilled-interview-direct-1080/,benchmark_20260329_152542.log | predictions_interview_direct.tsv | raw_interview_direct.jsonl | run_manifest.json | summary_all.json | summary_interview_direct.json,subset.tsv
benchmark_20260329_161609_431135_qwen3-5-direct-1080,Qwen 3.5 / distilled Qwen • single-answer benchmark • direct persona • 36×6×5 grid,benchmark,Qwen 3.5 / distilled Qwen,single-answer benchmark | direct persona | 36×6×5 grid,"Benchmark run for qwen 3.5 / distilled qwen. Includes summaries, predictions, raw generations.",../artifacts/runs/benchmark_20260329_161609_431135_qwen3-5-direct-1080/,benchmark_20260329_161609.log | predictions_direct_persona.tsv | raw_direct_persona.jsonl | run_manifest.json | summary_all.json | summary_direct_persona.json,subset.tsv
benchmark_20260329_165435_724091_llama-1080,Llama local / Llama 3.2 3B • single-answer benchmark • 36×6×5 grid,benchmark,Llama local / Llama 3.2 3B,single-answer benchmark | 36×6×5 grid,"Benchmark run for llama local / llama 3.2 3b. Includes summaries, predictions, raw generations.",../artifacts/runs/benchmark_20260329_165435_724091_llama-1080/,benchmark_20260329_165435.log | predictions_interview_state_guided.tsv | raw_interview_state_guided.jsonl | run_manifest.json | summary_all.json | summary_interview_state_guided.json,subset.tsv
benchmark_20260329_190736_686813_qwen3-5-nodemo-1080,Qwen 3.5 / distilled Qwen • single-answer benchmark • without demography • 36×6×5 grid,benchmark,Qwen 3.5 / distilled Qwen,single-answer benchmark | without demography | 36×6×5 grid,"Benchmark run for qwen 3.5 / distilled qwen. Includes summaries, predictions, raw generations.",../artifacts/runs/benchmark_20260329_190736_686813_qwen3-5-nodemo-1080/,benchmark_20260329_190736.log | predictions_no_demo.tsv | raw_no_demo.jsonl | run_manifest.json | summary_all.json | summary_no_demo.json,subset.tsv
benchmark_20260329_193243_505054_qwen35-distilled-nodemo-1080,Qwen 3.5 / distilled Qwen • single-answer benchmark • without demography • 36×6×5 grid,benchmark,Qwen 3.5 / distilled Qwen,single-answer benchmark | without demography | 36×6×5 grid,"Benchmark run for qwen 3.5 / distilled qwen. Includes summaries, predictions, raw generations.",../artifacts/runs/benchmark_20260329_193243_505054_qwen35-distilled-nodemo-1080/,benchmark_20260329_193243.log | predictions_no_demo.tsv | raw_no_demo.jsonl | run_manifest.json | summary_all.json | summary_no_demo.json,subset.tsv
benchmark_20260329_201602_240269_llama-nodemo-1080,Llama local / Llama 3.2 3B • single-answer benchmark • without demography • 36×6×5 grid,benchmark,Llama local / Llama 3.2 3B,single-answer benchmark | without demography | 36×6×5 grid,"Benchmark run for llama local / llama 3.2 3b. Includes summaries, predictions, raw generations.",../artifacts/runs/benchmark_20260329_201602_240269_llama-nodemo-1080/,benchmark_20260329_201602.log | predictions_no_demo.tsv | raw_no_demo.jsonl | run_manifest.json | summary_all.json | summary_no_demo.json,subset.tsv
cerebras-llama31-8b-dist36,Llama 3.1 8B • api_distribution • 36-question probe,api_distribution,Llama 3.1 8B,api_distribution | 36-question probe,"Api_distribution run for llama 3.1 8b. Includes predictions, raw generations, rate-limit state.",../artifacts/runs/cerebras-llama31-8b-dist36/,cerebras_distribution_20260331_020913.log | predictions.tsv | raw.jsonl,subset.tsv
cerebras-qwen235b-dist36,Qwen 3 235B • api_distribution • 36-question probe,api_distribution,Qwen 3 235B,api_distribution | 36-question probe,"Api_distribution run for qwen 3 235b. Includes predictions, raw generations, rate-limit state.",../artifacts/runs/cerebras-qwen235b-dist36/,cerebras_distribution_20260331_015749.log | predictions.tsv | raw.jsonl,subset.tsv
distribution_20260329_211206_qwen,Unknown model • distribution benchmark,distribution,Unknown model,distribution benchmark,"Distribution run for unknown model. Includes summaries, predictions, raw generations.",../artifacts/runs/distribution_20260329_211206_qwen/,distribution_20260329_211206.log | predictions.tsv | raw.jsonl | summary.json,subset.tsv
distribution_20260329_213549_qwen-distilled,Qwen 3.5 / distilled Qwen • distribution benchmark,distribution,Qwen 3.5 / distilled Qwen,distribution benchmark,"Distribution run for qwen 3.5 / distilled qwen. Includes predictions, raw generations.",../artifacts/runs/distribution_20260329_213549_qwen-distilled/,distribution_20260329_213549.log | distribution_20260329_221757.log | errors.jsonl | predictions.tsv | raw.jsonl,subset.tsv
